Borough,District,Population,Householdswithchildrenunder18yearsold,RacialDiversityIndex,Populationaged65,Populationaged25withabachelorsdegreeorhigher,Populationaged25withouthighschooldiploma,Unemployment rate,PercentageUnemployment,Poverty Rate,PercentagePoverty,Food waste in tons,Foodscraps per person,Food waste per person in pounds,Median Household Income
5,1,170280,0.383977,0.725959,0.124747,0.315325,0.202252,0.105494,10.5494,0.218464,21.8464,1353.2,0.01614425067,32.28850133,59660.10246
5,2,136638,0.351144,0.516286,0.157423,0.340666,0.154765,0.0522173,5.22173,0.139646,13.9646,,#DIV/0!,#DIV/0!,78865.69338
1,1,159903,0.139028,0.457724,0.124319,0.811138,0.169114,0.0897409,8.97409,0.0796218,7.96218,,#DIV/0!,#DIV/0!,128473.0091
1,2,159903,0.139028,0.457724,0.124319,0.811138,0.197551,0.0741944,7.41944,0.0796218,7.96218,,#DIV/0!,#DIV/0!,128473.0091
1,3,152453,0.133246,0.712566,0.153988,0.444171,0.0882125,0.0552115,5.52115,0.218125,21.8125,,#DIV/0!,#DIV/0!,44216.77756
1,4,149447,0.0907542,0.584745,0.129859,0.718008,0.228989,0.124965,12.4965,0.130274,13.0274,,#DIV/0!,#DIV/0!,105353.4258
1,5,149447,0.0907542,0.584745,0.129859,0.718008,0.380166,0.138606,13.8606,0.130274,13.0274,,#DIV/0!,#DIV/0!,105353.4258
1,6,143349,0.0887527,0.484398,0.192991,0.782066,0.278208,0.0875491,8.75491,0.102332,10.2332,,#DIV/0!,#DIV/0!,112904.2482
1,7,192374,0.187639,0.509098,0.183985,0.77126,0.242754,0.0496426,4.96426,0.0835987,8.35987,,#DIV/0!,#DIV/0!,113498.5654
1,8,221898,0.181586,0.385964,0.182088,0.812689,0.108703,0.0851978,8.51978,0.081178,8.1178,,#DIV/0!,#DIV/0!,123179.7373
1,9,130739,0.247281,0.743552,0.0982262,0.434976,0.242237,0.107204,10.7204,0.259428,25.9428,,#DIV/0!,#DIV/0!,45145.66553
1,10,132027,0.253996,0.617003,0.0993206,0.377564,0.332499,0.13477,13.477,0.292387,29.2387,,#DIV/0!,#DIV/0!,43359.50696
1,11,129713,0.27415,0.652523,0.12449,0.272822,0.187495,0.130427,13.0427,0.363185,36.3185,,#DIV/0!,#DIV/0!,33499.82615
1,12,224365,0.303535,0.471903,0.118704,0.302879,0.0657552,0.0507684,5.07684,0.242972,24.2972,,#DIV/0!,#DIV/0!,48269.03796
2,1,167147,0.44912,0.458755,0.0912909,0.090745,0.213246,0.0902274,9.02274,0.449929,44.9929,,#DIV/0!,#DIV/0!,22571.22939
2,2,167147,0.44912,0.458755,0.0912909,0.090745,0.138683,0.0870133,8.70133,0.449929,44.9929,,#DIV/0!,#DIV/0!,22571.22939
2,3,172247,0.43257,0.50057,0.0888143,0.118747,0.280016,0.106604,10.6604,0.442169,44.2169,,#DIV/0!,#DIV/0!,23559.97665
2,4,141467,0.418275,0.52329,0.0919508,0.162636,0.228841,0.083508,8.3508,0.372966,37.2966,,#DIV/0!,#DIV/0!,29077.72083
2,5,132850,0.409338,0.443515,0.0747761,0.126378,0.301121,0.0547661,5.47661,0.454282,45.4282,,#DIV/0!,#DIV/0!,22310.4139
2,6,172247,0.43257,0.50057,0.0888143,0.118747,0.0401894,0.0439678,4.39678,0.442169,44.2169,,#DIV/0!,#DIV/0!,23559.97665
2,7,135893,0.389507,0.500659,0.0909981,0.179763,0.208556,0.0877641,8.77641,0.314513,31.4513,,#DIV/0!,#DIV/0!,37941.17196
2,8,106737,0.304032,0.652253,0.165941,0.39869,0.138461,0.0843441,8.43441,0.224732,22.4732,,#DIV/0!,#DIV/0!,57960.89896
2,9,190126,0.355736,0.56204,0.1106,0.160895,0.207164,0.0565932,5.65932,0.297886,29.7886,,#DIV/0!,#DIV/0!,38542.97165
2,10,121209,0.310499,0.690088,0.198013,0.271717,0.0401894,0.0439678,4.39678,0.109928,10.9928,407.6,0.02696957802,53.93915604,58749.75894
2,11,135839,0.386692,0.676793,0.128564,0.24109,0.370175,0.109136,10.9136,0.202056,20.2056,,#DIV/0!,#DIV/0!,51211.76359
2,12,134644,0.381753,0.536676,0.116478,0.234439,0.136156,0.0876828,8.76828,0.189065,18.9065,,#DIV/0!,#DIV/0!,48000.74005
3,1,154713,0.236291,0.571884,0.0796313,0.495817,0.40432,0.110393,11.0393,0.230649,23.0649,,#DIV/0!,#DIV/0!,61802.58292
3,2,139070,0.235224,0.694883,0.109247,0.589004,0.317318,0.0695861,6.95861,0.193943,19.3943,,#DIV/0!,#DIV/0!,90396.08482
3,3,133235,0.279849,0.629319,0.107517,0.286301,0.186506,0.125865,12.5865,0.30288,30.288,,#DIV/0!,#DIV/0!,37067.86762
3,4,137368,0.324338,0.589767,0.0855075,0.23646,0.329067,0.13454,13.454,0.27073,27.073,,#DIV/0!,#DIV/0!,43273.99368
3,5,155863,0.352002,0.569374,0.112612,0.150984,0.249701,0.067197,6.7197,0.28704,28.704,,#DIV/0!,#DIV/0!,35269.95098
3,6,125062,0.321914,0.517121,0.0845661,0.703346,0.12123,0.0588902,5.88902,0.0906392,9.06392,,#DIV/0!,#DIV/0!,120835.6046
3,7,152685,0.411621,0.669526,0.0751613,0.265287,0.161381,0.0703862,7.03862,0.275736,27.5736,972.2,0.02836206542,56.72413084,51362.48074
3,8,126747,0.277225,0.528893,0.102148,0.366859,0.0657552,0.0507684,5.07684,0.246389,24.6389,,#DIV/0!,#DIV/0!,47998.60222
3,9,109337,0.291781,0.511714,0.12424,0.321164,0.213485,0.0750135,7.50135,0.219076,21.9076,,#DIV/0!,#DIV/0!,44695.65191
3,10,128545,0.29773,0.605431,0.136388,0.384092,0.380166,0.138606,13.8606,0.218447,21.8447,,#DIV/0!,#DIV/0!,60603.25921
3,11,187637,0.356107,0.626697,0.153973,0.301491,0.40432,0.110393,11.0393,0.196442,19.6442,,#DIV/0!,#DIV/0!,51038.59921
3,12,170011,0.44223,0.468478,0.104511,0.289936,0.133392,0.0809772,8.09772,0.327377,32.7377,,#DIV/0!,#DIV/0!,46200.68558
3,13,110727,0.268693,0.618549,0.241097,0.321261,0.154328,0.0686833,6.86833,0.326265,32.6265,,#DIV/0!,#DIV/0!,31616.39623
3,14,180723,0.341583,0.712596,0.116549,0.358884,0.228959,0.0769591,7.69591,0.208331,20.8331,,#DIV/0!,#DIV/0!,53783.57539
3,15,137815,0.267212,0.483386,0.181417,0.398863,0.0764842,0.0683108,6.83108,0.178582,17.8582,,#DIV/0!,#DIV/0!,56350.04261
3,16,123772,0.389979,0.388865,0.101574,0.122095,0.228414,0.105463,10.5463,0.385895,38.5895,,#DIV/0!,#DIV/0!,26999.74821
3,17,137526,0.298101,0.23187,0.151651,0.217795,0.129048,0.0763117,7.63117,0.191812,19.1812,,#DIV/0!,#DIV/0!,45267.52195
3,18,210957,0.347771,0.552933,0.13006,0.311622,0.0777177,0.0636059,6.36059,0.129303,12.9303,,#DIV/0!,#DIV/0!,66368.99189
4,1,182860,0.172285,0.669118,0.110642,0.434525,0.16928,0.0975457,9.75457,0.171292,17.1292,,#DIV/0!,#DIV/0!,60146.83209
4,2,150100,0.285177,0.687284,0.0938708,0.348056,0.253198,0.0770779,7.70779,0.158164,15.8164,,#DIV/0!,#DIV/0!,61211.47239
4,3,182354,0.395433,0.517106,0.123129,0.21419,0.150906,0.0719176,7.19176,0.170757,17.0757,,#DIV/0!,#DIV/0!,53028.92072
4,4,154740,0.394895,0.640693,0.113112,0.245433,0.303401,0.14256,14.256,0.206051,20.6051,,#DIV/0!,#DIV/0!,48383.41197
4,5,168488,0.293434,0.581742,0.131107,0.256652,0.151729,0.106957,10.6957,0.133942,13.3942,,#DIV/0!,#DIV/0!,68047.18995
4,6,107893,0.183177,0.646216,0.213638,0.54193,0.244187,0.091522,9.1522,0.112426,11.2426,,#DIV/0!,#DIV/0!,65513.85912
4,7,256742,0.291785,0.629796,0.162681,0.246949,0.0204118,0.0410828,4.10828,0.18822,18.822,,#DIV/0!,#DIV/0!,55695.86604
4,8,159330,0.307657,0.740487,0.129392,0.35553,0.233554,0.0530496,5.30496,0.144489,14.4489,,#DIV/0!,#DIV/0!,59136.70651
4,9,151202,0.392164,0.707653,0.103279,0.239986,0.365767,0.0651295,6.51295,0.144938,14.4938,,#DIV/0!,#DIV/0!,65497.82539
4,10,134827,0.434663,0.82385,0.139164,0.198708,0.17343,0.0744913,7.44913,0.157977,15.7977,,#DIV/0!,#DIV/0!,65146.15203
4,11,120996,0.292729,0.616578,0.179824,0.435078,0.359739,0.12128,12.128,0.0798575,7.98575,,#DIV/0!,#DIV/0!,86438.95794
4,12,251002,0.390632,0.571786,0.121656,0.216329,0.0291163,0.0301422,3.01422,0.15148,15.148,,#DIV/0!,#DIV/0!,56157.63774
4,13,193102,0.327657,0.607197,0.157378,0.269089,0.0425404,0.0437339,4.37339,0.0866794,8.66794,,#DIV/0!,#DIV/0!,80951.1434
4,14,107944,0.289199,0.696465,0.157628,0.272266,0.298522,0.116316,11.6316,0.19724,19.724,,#DIV/0!,#DIV/0!,47287.77311
5,1,176338,0.358277,0.72338,0.114303,0.296589,0.197803,0.136041,13.6041,0.224888,22.4888,728.7,0.03086153424,61.72306848,61571.69707
5,2,126200,0.296514,0.51177,0.174794,0.302629,0.168984,0.0643674,6.43674,0.0905267,9.05267,,#DIV/0!,#DIV/0!,76383.66551
